;;Cod.;Descrizione;Libero 4;Q.tà in giacenza;Fornitore;Ubicazione;Note
;No;7838;Fettuccia Tagliatella Top Blu Navy Gr 200;P.ta 4;63;Filsaronno Srl;BD-4;Fettuccia Tagliatella in Polipropilene. Rocca da 200 grammi con struttura tubolare da cm 0,8 ca per una lunghezza di metri 110 ca. Ideale per realizzare borse, cestini e complementi d'arredo. Consigliati Uncinetto 7-9. La Tagliatella Top è 100% Made in Italy ideata prodotta e distribuita in esclusiva da Tessiland.
;No;8819;Fettuccia Tagliatella Top Caffè Gr 200;P.ta 04;150;Filsaronno Srl;BD-5;Fettuccia Tagliatella in Polipropilene. Rocca da 200 grammi con struttura tubolare da cm 0,8 ca per una lunghezza di metri 110 ca. Ideale per realizzare borse, cestini e complementi d'arredo. Consigliati Uncinetto 7-9. La Tagliatella Top è 100% Made in Italy ideata prodotta e distribuita in esclusiva da Tessiland.
;No;8037;Fettuccia Tagliatella Top Cipria Gr 200;P.ta 2601;120;Filsaronno Srl;BD-6;Fettuccia Tagliatella in Polipropilene. Rocca da 200 grammi con struttura tubolare da cm 0,8 ca per una lunghezza di metri 110 ca. Ideale per realizzare borse, cestini e complementi d'arredo. Consigliati Uncinetto 7-9. La Tagliatella Top è 100% Made in Italy ideata prodotta e distribuita in esclusiva da Tessiland.
;No;7839;Fettuccia Tagliatella Top Crema Gr 200;P.ta 02;120;Filsaronno Srl;BD-7;Fettuccia Tagliatella in Polipropilene. Rocca da 200 grammi con struttura tubolare da cm 0,8 ca per una lunghezza di metri 110 ca. Ideale per realizzare borse, cestini e complementi d'arredo. Consigliati Uncinetto 7-9. La Tagliatella Top è 100% Made in Italy ideata prodotta e distribuita in esclusiva da Tessiland.
;No;7840;Fettuccia Tagliatella Top Fragola Gr 200;P.ta 02;90;Filsaronno Srl;BD-8;Fettuccia Tagliatella in Polipropilene. Rocca da 200 grammi con struttura tubolare da cm 0,8 ca per una lunghezza di metri 110 ca. Ideale per realizzare borse, cestini e complementi d'arredo. Consigliati Uncinetto 7-9. La Tagliatella Top è 100% Made in Italy ideata prodotta e distribuita in esclusiva da Tessiland.
;No;8205;Fettuccia Tagliatella Top Giada Gr 200;P.ta 03;90;Filsaronno Srl;BD-8;Fettuccia Tagliatella in Polipropilene. Rocca da 200 grammi con struttura tubolare da cm 0,8 ca per una lunghezza di metri 110 ca. Ideale per realizzare borse, cestini e complementi d'arredo. Consigliati Uncinetto 7-9. La Tagliatella Top è 100% Made in Italy ideata prodotta e distribuita in esclusiva da Tessiland.
;No;8204;Fettuccia Tagliatella Top Glicine Gr 200;P.ta 03;90;Filsaronno Srl;BD-9;Fettuccia Tagliatella in Polipropilene. Rocca da 200 grammi con struttura tubolare da cm 0,8 ca per una lunghezza di metri 110 ca. Ideale per realizzare borse, cestini e complementi d'arredo. Consigliati Uncinetto 7-9. La Tagliatella Top è 100% Made in Italy ideata prodotta e distribuita in esclusiva da Tessiland.
;No;7841;Fettuccia Tagliatella Top Grigio Gr 200;P.ta 02;90;Filsaronno Srl;BD-9;"Fettuccia Tagliatella in Polipropilene. Rocca da 200 grammi con struttura tubolare da cm 0,8 ca per una lunghezza di metri 110 ca. Ideale per realizzare borse, cestini e complementi d'arredo. Consigliati Uncinetto 7-9. La Tagliatella Top è 100% Made in Italy ideata prodotta e distribuita in esclusiva da Tessiland. 
[P.ta 02]"
;No;9045;Fettuccia Tagliatella Top Malva Gr 200;P.ta 04;30;Filsaronno Srl;BD-10;Fettuccia Tagliatella in Polipropilene. Rocca da 200 grammi con struttura tubolare da cm 0,8 ca per una lunghezza di metri 110 ca. Ideale per realizzare borse, cestini e complementi d'arredo. Consigliati Uncinetto 7-9. La Tagliatella Top è 100% Made in Italy ideata prodotta e distribuita in esclusiva da Tessiland.
;No;8818;Fettuccia Tagliatella Top Mango Gr 200;P.ta 5;90;Filsaronno Srl;BD-10;Fettuccia Tagliatella in Polipropilene. Rocca da 200 grammi con struttura tubolare da cm 0,8 ca per una lunghezza di metri 110 ca. Ideale per realizzare borse, cestini e complementi d'arredo. Consigliati Uncinetto 7-9. La Tagliatella Top è 100% Made in Italy ideata prodotta e distribuita in esclusiva da Tessiland.
;No;7842;Fettuccia Tagliatella Top Mosto Gr 200;P.ta 04;90;Filsaronno Srl;BD-11;Fettuccia Tagliatella in Polipropilene. Rocca da 200 grammi con struttura tubolare da cm 0,8 ca per una lunghezza di metri 110 ca. Ideale per realizzare borse, cestini e complementi d'arredo. Consigliati Uncinetto 7-9. La Tagliatella Top è 100% Made in Italy ideata prodotta e distribuita in esclusiva da Tessiland.
;No;7843;Fettuccia Tagliatella Top Nero Gr 200;P.ta 4;90;Filsaronno Srl;BD-12;Fettuccia Tagliatella in Polipropilene. Rocca da 200 grammi con struttura tubolare da cm 0,8 ca per una lunghezza di metri 110 ca. Ideale per realizzare borse, cestini e complementi d'arredo. Consigliati Uncinetto 7-9. La Tagliatella Top è 100% Made in Italy ideata prodotta e distribuita in esclusiva da Tessiland.
;No;8462;Fettuccia Tagliatella Top Rame Gr 200;P.ta 03;30;Filsaronno Srl;BD-13;Fettuccia Tagliatella in Polipropilene. Rocca da 200 grammi con struttura tubolare da cm 0,8 ca per una lunghezza di metri 110 ca. Ideale per realizzare borse, cestini e complementi d'arredo. Consigliati Uncinetto 7-9. La Tagliatella Top è 100% Made in Italy ideata prodotta e distribuita in esclusiva da Tessiland.
;No;8108;Fettuccia Tagliatella Top Salvia Gr 200;P.TA 2408;60;Filsaronno Srl;BD-14;Fettuccia Tagliatella in Polipropilene. Rocca da 200 grammi con struttura tubolare da cm 0,8 ca per una lunghezza di metri 110 ca. Ideale per realizzare borse, cestini e complementi d'arredo. Consigliati Uncinetto 7-9. La Tagliatella Top è 100% Made in Italy ideata prodotta e distribuita in esclusiva da Tessiland.
;No;7844;Fettuccia Tagliatella Top Silver Gr 200;P.ta 02;90;Filsaronno Srl;BD-14;Fettuccia Tagliatella in Polipropilene. Rocca da 200 grammi con struttura tubolare da cm 0,8 ca per una lunghezza di metri 110 ca. Ideale per realizzare borse, cestini e complementi d'arredo. Consigliati Uncinetto 7-9. La Tagliatella Top è 100% Made in Italy ideata prodotta e distribuita in esclusiva da Tessiland.
;No;8817;Fettuccia Tagliatella Top Smeraldo Gr 200;P.ta 04;97;Filsaronno Srl;BD-15;Fettuccia Tagliatella in Polipropilene. Rocca da 200 grammi con struttura tubolare da cm 0,8 ca per una lunghezza di metri 110 ca. Ideale per realizzare borse, cestini e complementi d'arredo. Consigliati Uncinetto 7-9. La Tagliatella Top è 100% Made in Italy ideata prodotta e distribuita in esclusiva da Tessiland.
;No;8107;Fettuccia Tagliatella Top Tiffany Gr 200;P.ta 03;90;Filsaronno Srl;BD-15;Fettuccia Tagliatella in Polipropilene. Rocca da 200 grammi con struttura tubolare da cm 0,8 ca per una lunghezza di metri 110 ca. Ideale per realizzare borse, cestini e complementi d'arredo. Consigliati Uncinetto 7-9. La Tagliatella Top è 100% Made in Italy ideata prodotta e distribuita in esclusiva da Tessiland.
;No;nv040k2x;Handy Arancio Oro Grammi 200;p.ta 2337401;0;Cofil S.R.L.;;Rocca di Cotone con inserti lurex. Composizione 41% Cotone 36% Acrilico 18%Poliammide 5%Poliestere. Peso grammi 200 lunghezza Metri 1340 ca. Consigliati:Ferri 2 Uncinetto 1.50-2.00. Idonea per abbigliamento ed inserti. [P.ta 1451902]
;No;6jdmk1y1;Handy Beige Argento Grammi 200;p.ta R1589301;0;Cofil S.R.L.;;Rocca di Cotone con inserti lurex. Composizione 41% Cotone 36% Acrilico 18%Poliammide 5%Poliestere. Peso grammi 200 lunghezza Metri 1340 ca. Consigliati:Ferri 2 Uncinetto 1.50-2.00. Idonea per abbigliamento ed inserti. [P.ta R1589301]
;No;w8q90gs1;Handy Bianco Argento Grammi 200;P.ta R2759307;0;Cofil S.R.L.;;Rocca di Cotone con inserti lurex. Composizione 41% Cotone 36% Acrilico 18%Poliammide 5%Poliestere. Peso grammi 200 lunghezza Metri 1340 ca. Consigliati:Ferri 2 Uncinetto 1.50-2.00. Idonea per abbigliamento ed inserti.
;No;2lgsz239;Handy Blu Argento Grammi 200; p ta R1292103;0;Cofil S.R.L.;;"Rocca di Cotone con inserti lurex. Composizione 41% Cotone 36% Acrilico 18%Poliammide 5%Poliestere. Peso grammi 200 lunghezza Metri 1340 ca. Consigliati:Ferri 2 Uncinetto 1.50-2.00. Idonea per abbigliamento ed inserti. 
[P.ta R1292103]"
;No;40701;Handy Blu Lux Grammi 200;P.ta R2595203;0;Cofil S.R.L.;;Rocca di Cotone con inserti lurex. Composizione 41% Cotone 36% Acrilico 18%Poliammide 5%Poliestere. Peso grammi 200 lunghezza Metri 1340 ca. Consigliati:Ferri 2 Uncinetto 1.50-2.00. Idonea per abbigliamento ed inserti.
;No;k4r2eiyw;Handy Bluette Argento Grammi 200; p.ta 1402001;0;Cofil S.R.L.;;Rocca di Cotone con inserti lurex. Composizione 41% Cotone 36% Acrilico 18%Poliammide 5%Poliestere. Peso grammi 200 lunghezza Metri 1340 ca. Consigliati:Ferri 2 Uncinetto 1.50-2.00. Idonea per abbigliamento ed inserti. [P.ta 1402001]
;No;40633;Handy Bluette Blu Grammi 200;P.ta R2759304;0;Cofil S.R.L.;;Rocca di Cotone con inserti lurex. Composizione 41% Cotone 36% Acrilico 18%Poliammide 5%Poliestere. Peso grammi 200 lunghezza Metri 1340 ca. Consigliati:Ferri 2 Uncinetto 1.50-2.00. Idonea per abbigliamento ed inserti.
;No;otvjg93g;Handy Bottiglia smeraldo Grammi 200;p.ta RE1454401;0;Cofil S.R.L.;;"Rocca di Cotone con inserti lurex. Composizione 41% Cotone 36% Acrilico 18%Poliammide 5%Poliestere. Peso grammi 200 lunghezza Metri 1340 ca. Consigliati:Ferri 2 Uncinetto 1.50-2.00. Idonea per abbigliamento ed inserti. 
[P.ta RE1454401]"
;No;40630;Handy Camoscio rame Grammi 200;P.ta R2759301;0;Cofil S.R.L.;;Rocca di Cotone con inserti lurex. Composizione 41% Cotone 36% Acrilico 18%Poliammide 5%Poliestere. Peso grammi 200 lunghezza Metri 1340 ca. Consigliati:Ferri 2 Uncinetto 1.50-2.00. Idonea per abbigliamento ed inserti.
;No;42bktp7e;Handy Cielo Argento Grammi 200;pta R1798101;0;Cofil S.R.L.;;Rocca di Cotone con inserti lurex. Composizione 41% Cotone 36% Acrilico 18%Poliammide 5%Poliestere. Peso grammi 200 lunghezza Metri 1340 ca. Consigliati:Ferri 2 Uncinetto 1.50-2.00. Idonea per abbigliamento ed inserti. [P.ta 1647401]
;No;5687;Handy Cielo Lux Grammi 200;P.ta R2723403;0;Cofil S.R.L.;;Rocca di Cotone con inserti lurex. Composizione 41% Cotone 36% Acrilico 18%Poliammide 5%Poliestere. Peso grammi 200 lunghezza Metri 1340 ca. Consigliati:Ferri 2 Uncinetto 1.50-2.00. Idonea per abbigliamento ed inserti.
;No;6847;Handy Corallo Lux Grammi 200;[P.ta R1492402];0;Cofil S.R.L.;;"Rocca di Cotone con inserti lurex. Composizione 41% Cotone 36% Acrilico 18%Poliammide 5%Poliestere. Peso grammi 200 lunghezza Metri 1340 ca. Consigliati:Ferri 2 Uncinetto 1.50-2.00. Idonea per abbigliamento ed inserti.
[P.ta R1492402]"
;No;7011;Handy Cuoio Rosso Grammi 200;p.ta 1448001;0;Cofil S.R.L.;;Rocca di Cotone con inserti lurex. Composizione 41% Cotone 36% Acrilico 18%Poliammide 5%Poliestere. Peso grammi 200 lunghezza Metri 1340 ca. Consigliati:Ferri 2 Uncinetto 1.50-2.00. Idonea per abbigliamento ed inserti. [P.ta 1448001]
;No;0y015bci;Handy Fuxia Argento Grammi 200;p.ta r1105602;0;Cofil S.R.L.;;Rocca di Cotone con inserti lurex. Composizione 41% Cotone 36% Acrilico 18%Poliammide 5%Poliestere. Peso grammi 200 lunghezza Metri 1340 ca. Consigliati:Ferri 2 Uncinetto 1.50-2.00. Idonea per abbigliamento ed inserti. [P.ta r1105602]
;No;waj6tmjc;Handy Ghiaia Argento  Grammi 200;P.ta R2595204;0;Cofil S.R.L.;;Rocca di Cotone con inserti lurex. Composizione 41% Cotone 36% Acrilico 18%Poliammide 5%Poliestere. Peso grammi 200 lunghezza Metri 1340 ca. Consigliati:Ferri 2 Uncinetto 1.50-2.00. Idonea per abbigliamento ed inserti.
;No;40619;Handy Lilla lilla Grammi 200;P.ta R2759303;0;Cofil S.R.L.;;Rocca di Cotone con inserti lurex. Composizione 41% Cotone 36% Acrilico 18%Poliammide 5%Poliestere. Peso grammi 200 lunghezza Metri 1340 ca. Consigliati:Ferri 2 Uncinetto 1.50-2.00. Idonea per abbigliamento ed inserti.
;No;6848;Handy Lilla Rame Grammi 200;P.ta 1454405;0;Cofil S.R.L.;;Rocca di Cotone con inserti lurex. Composizione 41% Cotone 36% Acrilico 18%Poliammide 5%Poliestere. Peso grammi 200 lunghezza Metri 1340 ca. Consigliati:Ferri 2 Uncinetto 1.50-2.00. Idonea per abbigliamento ed inserti. [P.ta 1454405]
;No;40620;Handy Marino Azzurro Grammi 200;P.ta R2759305;0;Cofil S.R.L.;;Rocca di Cotone con inserti lurex. Composizione 41% Cotone 36% Acrilico 18%Poliammide 5%Poliestere. Peso grammi 200 lunghezza Metri 1340 ca. Consigliati:Ferri 2 Uncinetto 1.50-2.00. Idonea per abbigliamento ed inserti.
;No;myrlww15;Handy Mattone Rame Grammi 200;p.ta 1453601;0;Cofil S.R.L.;;Rocca di Cotone con inserti lurex. Composizione 41% Cotone 36% Acrilico 18%Poliammide 5%Poliestere. Peso grammi 200 lunghezza Metri 1340 ca. Consigliati:Ferri 2 Uncinetto 1.50-2.00. Idonea per abbigliamento ed inserti. [P.ta 1453601]
;No;xtevefeu;Handy Militare Rame Grammi 200;p.ta R2385606;0;Cofil S.R.L.;;"Rocca di Cotone con inserti lurex. Composizione 41% Cotone 36% Acrilico 18%Poliammide 5%Poliestere. Peso grammi 200 lunghezza Metri 1340 ca. Consigliati:Ferri 2 Uncinetto 1.50-2.00. Idonea per abbigliamento ed inserti. 
[P.ta R1428902]"
;No;l3og280g;Handy Nero Argento  Grammi 200;P.ta R2171102;0;Cofil S.R.L.;;"Rocca di Cotone con inserti lurex. Composizione 41% Cotone 36% Acrilico 18%Poliammide 5%Poliestere. Peso grammi 200 lunghezza Metri 1340 ca. Consigliati:Ferri 2 Uncinetto 1.50-2.00. Idonea per abbigliamento ed inserti. 
[P.ta R2171102]"
;No;40634;Handy Nero Oro  Grammi 200;P.ta R2595205;0;Cofil S.R.L.;;Rocca di Cotone con inserti lurex. Composizione 41% Cotone 36% Acrilico 18%Poliammide 5%Poliestere. Peso grammi 200 lunghezza Metri 1340 ca. Consigliati:Ferri 2 Uncinetto 1.50-2.00. Idonea per abbigliamento ed inserti.
;No;nloxl58v;Handy Nocciola Oro Grammi 200;P.ta R2723401;0;Cofil S.R.L.;;Rocca di Cotone con inserti lurex. Composizione 41% Cotone 36% Acrilico 18%Poliammide 5%Poliestere. Peso grammi 200 lunghezza Metri 1340 ca. Consigliati:Ferri 2 Uncinetto 1.50-2.00. Idonea per abbigliamento ed inserti.
;No;4krred23;Handy Panna Oro Grammi 200;P.ta R2565801;0;Cofil S.R.L.;;Rocca di Cotone con inserti lurex. Composizione 41% Cotone 36% Acrilico 18%Poliammide 5%Poliestere. Peso grammi 200 lunghezza Metri 1340 ca. Consigliati:Ferri 2 Uncinetto 1.50-2.00. Idonea per abbigliamento ed inserti.
;No;37pr5d8r;Handy Rosa Lilla Grammi 200; p.ta R1873401;0;Cofil S.R.L.;;"Rocca di Cotone con inserti lurex. Composizione 41% Cotone 36% Acrilico 18%Poliammide 5%Poliestere. Peso grammi 200 lunghezza Metri 1340 ca. Consigliati:Ferri 2 Uncinetto 1.50-2.00. Idonea per abbigliamento ed inserti.
[P.ta R1873401]"
;No;40632;Handy Rosa lux Grammi 200;P.ta R2759302;0;Cofil S.R.L.;;Rocca di Cotone con inserti lurex. Composizione 41% Cotone 36% Acrilico 18%Poliammide 5%Poliestere. Peso grammi 200 lunghezza Metri 1340 ca. Consigliati:Ferri 2 Uncinetto 1.50-2.00. Idonea per abbigliamento ed inserti.
;No;crk37j7p;Handy Rosa Oro Grammi 200;p.ta 1446701;0;Cofil S.R.L.;;Rocca di Cotone con inserti lurex. Composizione 41% Cotone 36% Acrilico 18%Poliammide 5%Poliestere. Peso grammi 200 lunghezza Metri 1340 ca. Consigliati:Ferri 2 Uncinetto 1.50-2.00. Idonea per abbigliamento ed inserti. [P.ta 1446701]
;No;oix1pfir;Handy Rosso Oro Grammi 200;pta R1677701;0;Cofil S.R.L.;;Rocca di Cotone con inserti lurex. Composizione 41% Cotone 36% Acrilico 18%Poliammide 5%Poliestere. Peso grammi 200 lunghezza Metri 1340 ca. Consigliati:Ferri 2 Uncinetto 1.50-2.00. Idonea per abbigliamento ed inserti. [P.ta R1677701]
;No;mtl1y2z2;Handy Senape Oro Grammi 200;P.ta r1421902;0;Cofil S.R.L.;;Rocca di Cotone con inserti lurex. Composizione 41% Cotone 36% Acrilico 18%Poliammide 5%Poliestere. Peso grammi 200 lunghezza Metri 1340 ca. Consigliati:Ferri 2 Uncinetto 1.50-2.00. Idonea per abbigliamento ed inserti. [P.ta r1421902]
;No;s19w31w9;Handy Smeraldo Oro Grammi 200;P.ta R1454404;0;Cofil S.R.L.;;"Rocca di Cotone con inserti lurex. Composizione 41% Cotone 36% Acrilico 18%Poliammide 5%Poliestere. Peso grammi 200 lunghezza Metri 1340 ca. Consigliati:Ferri 2 Uncinetto 1.50-2.00. Idonea per abbigliamento ed inserti. 
[P.ta R1454404]"
;No;wdey16t8;Handy Turchese acqua Grammi 200;p.ta R1677702;0;Cofil S.R.L.;;"Rocca di Cotone con inserti lurex. Composizione 41% Cotone 36% Acrilico 18%Poliammide 5%Poliestere. Peso grammi 200 lunghezza Metri 1340 ca. Consigliati:Ferri 2 Uncinetto 1.50-2.00. Idonea per abbigliamento ed inserti. 
[P.ta R1677702]"
;No;l7ygw3lj;Handy Verde Acqua Argento Grammi 200;p.ta 1551801;0;Cofil S.R.L.;;"Rocca di Cotone con inserti lurex. Composizione 41% Cotone 36% Acrilico 18%Poliammide 5%Poliestere. Peso grammi 200 lunghezza Metri 1340 ca. Consigliati:Ferri 2 Uncinetto 1.50-2.00. Idonea per abbigliamento ed inserti. 
[P.ta 1551801]"
;No;40702;Handy Verde Lux Grammi 200;P.ta R2759306;0;Cofil S.R.L.;;Rocca di Cotone con inserti lurex. Composizione 41% Cotone 36% Acrilico 18%Poliammide 5%Poliestere. Peso grammi 200 lunghezza Metri 1340 ca. Consigliati:Ferri 2 Uncinetto 1.50-2.00. Idonea per abbigliamento ed inserti.
;No;6849;Handy Viola Viola Grammi 200;P.ta r2595202;0;Cofil S.R.L.;;Rocca di Cotone con inserti lurex. Composizione 41% Cotone 36% Acrilico 18%Poliammide 5%Poliestere. Peso grammi 200 lunghezza Metri 1340 ca. Consigliati:Ferri 2 Uncinetto 1.50-2.00. Idonea per abbigliamento ed inserti.
;No; 10760;Kigo Cipria Oro Gr 250;P.ta R0379001;180;Cofil S.R.L.;BK-1+2;Fettuccia in rocca con effetto laminato. Composizione 63% Cotone 33% Poliestere 4%Fibra metallica. Peso grammi 250 Lunghezza Metri 450 ca. Consigliati Ferri 6-8 Uncinetto 5-7.
;No;p6cb0rjx;King Beige fettuccia misto cotone Gr 250;P.ta T1393001;0;Cofil S.R.L.;;Fettuccia in rocca Tinta Unita. Composizione 60% Cotone 40%Acrilico. Peso grammi 250 Lunghezza Metri 500 ca. Consigliati Ferri 6-8  Uncinetto 5-7.
;No;s0vkkqdt;King Bianco fettuccia misto cotone Gr 250;P.ta T1220003;172;Cofil S.R.L.;BJ-1;Fettuccia in rocca Tinta Unita. Composizione 60% Cotone 40%Acrilico. Peso grammi 250 Lunghezza Metri 500 ca. Consigliati Ferri 6-8  Uncinetto 5-7.
;No;6780;King Blu fettuccia misto cotone Gr 250;P.ta  t0642602;0;Cofil S.R.L.;;Fettuccia in rocca Tinta Unita. Composizione 60% Cotone 40%Acrilico. Peso grammi 250 Lunghezza Metri 500 ca. Consigliati Ferri 6-8  Uncinetto 5-7. [P.ta t0642602]
;No;6784;King Bluette fettuccia misto cotone Gr 250;P.ta T1033901;0;Cofil S.R.L.;;Fettuccia in rocca Tinta Unita. Composizione 60% Cotone 40%Acrilico. Peso grammi 250 Lunghezza Metri 500 ca. Consigliati Ferri 6-8  Uncinetto 5-7. [P.ta T1033901]
;No;54gxaj61;King Bordeaux fettuccia misto cotone Gr 250;P.ta T0995402;0;Cofil S.R.L.;;Fettuccia in rocca Tinta Unita. Composizione 60% Cotone 40%Acrilico. Peso grammi 250 Lunghezza Metri 500 ca. Consigliati Ferri 6-8  Uncinetto 5-7.
;No;sv1m5gtc;King Celeste fettuccia misto cotone Gr 250;P.ta 0942904;0;Cofil S.R.L.;;Fettuccia in rocca Tinta Unita. Composizione 60% Cotone 40%Acrilico. Peso grammi 250 Lunghezza Metri 500 ca. Consigliati Ferri 6-8  Uncinetto 5-7. [P.ta 0942904]
;No;51lilxpc;King Ciliegia fettuccia misto cotone Gr 250;P.ta T1220005;172;Cofil S.R.L.;BJ-2;Fettuccia in rocca Tinta Unita. Composizione 60% Cotone 40%Acrilico. Peso grammi 250 Lunghezza Metri 500 ca. Consigliati Ferri 6-8  Uncinetto 5-7.
;No;6783;King Cipria fettuccia misto cotone Gr 250;P.ta T1220004;170;Cofil S.R.L.;BJ-3;Fettuccia in rocca Tinta Unita. Composizione 60% Cotone 40%Acrilico. Peso grammi 250 Lunghezza Metri 500 ca. Consigliati Ferri 6-8  Uncinetto 5-7.
;No;5z96hh1k;King Corallo fettuccia misto cotone Gr 250;P.ta T1220001;176;Cofil S.R.L.;BJ-4;Fettuccia in rocca Tinta Unita. Composizione 60% Cotone 40%Acrilico. Peso grammi 250 Lunghezza Metri 500 ca. Consigliati Ferri 6-8  Uncinetto 5-7.
;No;dd0c7ehp;King Crema fettuccia misto cotone Gr 250;P.ta 189077;0;Cofil S.R.L.;;Fettuccia in rocca Tinta Unita. Composizione 60% Cotone 40%Acrilico. Peso grammi 250 Lunghezza Metri 500 ca. Consigliati Ferri 6-8  Uncinetto 5-7. [P.ta 189077]
;No; 23112010;King Ecrù fettuccia misto cotone Gr 250;P.ta R1329001;0;Cofil S.R.L.;;Fettuccia in rocca Tinta Unita. Composizione 60% Cotone 40%Acrilico. Peso grammi 250 Lunghezza Metri 500 ca. Consigliati Ferri 6-8  Uncinetto 5-7. P.ta R1852001
;No;6789;King Fuxia fettuccia misto cotone Gr 250;P.ta R1852001;0;Cofil S.R.L.;;Fettuccia in rocca Tinta Unita. Composizione 60% Cotone 40%Acrilico. Peso grammi 250 Lunghezza Metri 500 ca. Consigliati Ferri 6-8  Uncinetto 5-7. P.ta R1852001
;No;6785;King Glicine fettuccia misto cotone Gr 250;P.ta T1094101;0;Cofil S.R.L.;;Fettuccia in rocca Tinta Unita. Composizione 60% Cotone 40%Acrilico. Peso grammi 250 Lunghezza Metri 500 ca. Consigliati Ferri 6-8  Uncinetto 5-7. [P.ta T1094101]
;No;10772;King Militare fettuccia misto cotone Gr 250;P.ta T1220001;172;Cofil S.R.L.;BJ-5;Fettuccia in rocca Tinta Unita. Composizione 60% Cotone 40%Acrilico. Peso grammi 250 Lunghezza Metri 500 ca. Consigliati Ferri 6-8  Uncinetto 5-7.
;No;8xs9sgfh;King Nero fettuccia misto cotone Gr 250;[P.ta T1099402];0;Cofil S.R.L.;;Fettuccia in rocca Tinta Unita. Composizione 60% Cotone 40%Acrilico. Peso grammi 250 Lunghezza Metri 500 ca. Consigliati Ferri 6-8  Uncinetto 5-7. P.ta T1099402
;No;i16uzzi2;King Panna fettuccia misto cotone Gr 250;P.ta T570201;374;Cofil S.R.L.;BJ-5;Fettuccia in rocca Tinta Unita. Composizione 60% Cotone 40%Acrilico. Peso grammi 250 Lunghezza Metri 500 ca. Consigliati Ferri 6-8  Uncinetto 5-7.
;No;6758;King Perla fettuccia misto cotone Gr 250;P.ta T0805901;0;Cofil S.R.L.;;Fettuccia in rocca Tinta Unita. Composizione 60% Cotone 40%Acrilico. Peso grammi 250 Lunghezza Metri 500 ca. Consigliati Ferri 6-8  Uncinetto 5-7.
;No;6782;King Petrolio fettuccia misto cotone Gr 250;P.ta T1220008;156;Cofil S.R.L.;BJ-7;Fettuccia in rocca Tinta Unita. Composizione 60% Cotone 40%Acrilico. Peso grammi 250 Lunghezza Metri 500 ca. Consigliati Ferri 6-8  Uncinetto 5-7.
;No;lor62u6s;King Rosa fettuccia misto cotone Gr 250;P.ta T1220006;173;Cofil S.R.L.;BJ-8;Fettuccia in rocca Tinta Unita. Composizione 60% Cotone 40%Acrilico. Peso grammi 250 Lunghezza Metri 500 ca. Consigliati Ferri 6-8  Uncinetto 5-7.
;No;wlmuwphm;King Ruggine fettuccia misto cotone Gr 250;P.ta 0620301;0;Cofil S.R.L.;;Fettuccia in rocca Tinta Unita. Composizione 60% Cotone 40%Acrilico. Peso grammi 250 Lunghezza Metri 500 ca. Consigliati Ferri 6-8  Uncinetto 5-7. [P.ta 0620301]
;No;niqjr617;King Senape fettuccia misto cotone Gr 250;P.ta T1220009;186;Cofil S.R.L.;BJ-9;Fettuccia in rocca Tinta Unita. Composizione 60% Cotone 40%Acrilico. Peso grammi 250 Lunghezza Metri 500 ca. Consigliati Ferri 6-8  Uncinetto 5-7.
;No;6781;King Tiffany fettuccia misto cotone Gr 250;Pta T1033902;0;Cofil S.R.L.;;Fettuccia in rocca Tinta Unita. Composizione 60% Cotone 40%Acrilico. Peso grammi 250 Lunghezza Metri 500 ca. Consigliati Ferri 6-8  Uncinetto 5-7. [P.ta T0716501]
;No;vne8zr8z;King Turchese fettuccia misto cotone Gr 250;P.ta T0995405;0;Cofil S.R.L.;;Fettuccia in rocca Tinta Unita. Composizione 60% Cotone 40%Acrilico. Peso grammi 250 Lunghezza Metri 500 ca. Consigliati Ferri 6-8  Uncinetto 5-7. [P.ta T0995405]
;No;6786;King Viola fettuccia misto cotone Gr 250;P.ta  T1220007;173;Cofil S.R.L.;BJ-10;Fettuccia in rocca Tinta Unita. Composizione 60% Cotone 40%Acrilico. Peso grammi 250 Lunghezza Metri 500 ca. Consigliati Ferri 6-8  Uncinetto 5-7.
;No;p95lij4q;Lamè Argento Gr 100;P.ta 2510;10;ilcat;BL-1;Filato Lamè per inserti o da binare con altri filati.Composizione 50%Poliammide 40%Poliestere 10%Viscosa. La lunghezza del filato è di circa 2000 metri per rocchetto da 100 grammi.
;No;17wzy133;Lamè Bronzo Gr 100;P.ta 3105;0;ilcat;;"Filato Lamè per inserti o da binare con altri filati.Composizione 50%Poliammide 40%Poliestere 10%Viscosa. La lunghezza del filato è di circa 2000 metri per rocchetto da 100 grammi. 
[P.ta 3105]"
;No;vxkb9qe9;Lamè Fuxia Gr 100;P.ta 2805;30;ilcat;BL-2;Filato Lamè per inserti o da binare con altri filati.Composizione 50%Poliammide 40%Poliestere 10%Viscosa. La lunghezza del filato è di circa 2000 metri per rocchetto da 100 grammi.
;No;13662;Lamè Magenta Gr 100;P.ta 2012;0;ilcat;;Filato Lamè per inserti o da binare con altri filati.Composizione 50%Poliammide 40%Poliestere 10%Viscosa. La lunghezza del filato è di circa 2000 metri per rocchetto da 100 grammi.   [P.ta  2012]
;No;zbjex1f3;Lamè Nero Gr 100;P.ta 3005;0;ilcat;;Filato Lamè per inserti o da binare con altri filati.Composizione 50%Poliammide 40%Poliestere 10%Viscosa. La lunghezza del filato è di circa 2000 metri per rocchetto da 100 grammi.
